L,margin_rho_over_chi,discount_tau_over_rho,beta_concentration,key,seed,waste_base,waste_tgtg,delta_waste,profit_base,profit_tgtg,delta_profit,prod_base,prod_tgtg,delta_prod,b_star,waste_base_per_day,waste_tgtg_per_day,delta_waste_per_day,prod_base_per_day,prod_tgtg_per_day,delta_prod_per_day
3,3.0,0.15,5.0,L=3|m=3.0|d=0.15|c=5.0,3209,1286.7,1138.3,-148.4000000000001,242.79799999999997,235.702,-7.095999999999947,8000.0,7600.0,-400.0,0.0,25.734,22.766,-2.9680000000000017,160.0,152.0,-8.0
3,3.0,0.15,10.0,L=3|m=3.0|d=0.15|c=10.0,3222,1604.25,1618.5,14.25,297.745,296.89000000000004,-0.8549999999999613,9850.0,9850.0,0.0,0.0,32.085,32.37,0.285,197.0,197.0,0.0
3,3.0,0.15,20.0,L=3|m=3.0|d=0.15|c=20.0,3235,691.75,676.5,-15.25,320.495,319.41,-1.0850000000000364,9050.0,9000.0,-50.0,0.0,13.835,13.53,-0.305,181.0,180.0,-1.0
3,3.0,0.15,50.0,L=3|m=3.0|d=0.15|c=50.0,3248,537.2,514.55,-22.65000000000009,353.768,353.127,-0.6409999999999627,9650.0,9600.0,-50.0,0.0,10.744000000000002,10.291,-0.4530000000000018,193.0,192.0,-1.0
3,3.0,0.15,100.0,L=3|m=3.0|d=0.15|c=100.0,3261,294.85,294.85,0.0,360.309,360.309,0.0,9450.0,9450.0,0.0,0.0,5.897,5.897,0.0,189.0,189.0,0.0
3,3.0,0.25,3.0,L=3|m=3.0|d=0.25|c=3.0,3274,1677.65,1723.25,45.59999999999991,215.341,216.605,1.2640000000000384,7900.0,8000.0,100.0,0.0,33.553000000000004,34.465,0.911999999999998,158.0,160.0,2.0
3,3.0,0.25,5.0,L=3|m=3.0|d=0.25|c=5.0,3287,1300.3,1179.0,-121.29999999999995,257.982,251.51,-6.472000000000037,8400.0,8450.0,50.0,0.041553499765383,26.006,23.58,-2.4259999999999997,168.0,169.0,1.0
3,3.0,0.25,10.0,L=3|m=3.0|d=0.25|c=10.0,3300,1249.35,1323.85,74.5,303.039,304.569,1.5300000000000296,9450.0,9600.0,150.0,0.0016422814182554,24.987,26.477,1.49,189.0,192.0,3.0
3,3.0,0.25,20.0,L=3|m=3.0|d=0.25|c=20.0,3313,557.0,743.6,186.6,316.58000000000004,327.384,10.803999999999917,8750.0,9300.0,550.0,0.0,11.14,14.872,3.7320000000000007,175.0,186.0,11.0
3,3.0,0.25,50.0,L=3|m=3.0|d=0.25|c=50.0,3326,442.6,484.4,41.79999999999996,345.444,346.93600000000004,1.4920000000000757,9300.0,9400.0,100.0,0.0,8.852,9.688,0.8359999999999991,186.0,188.0,2.0
3,3.0,0.35,3.0,L=3|m=3.0|d=0.35|c=3.0,3352,2075.05,1825.7,-249.3500000000001,233.497,242.30800000000016,8.811000000000178,8950.0,20350.0,11400.0,0.584614806301078,41.501000000000005,36.514,-4.987000000000003,179.0,407.0,228.0
3,3.0,0.25,100.0,L=3|m=3.0|d=0.25|c=100.0,3339,222.5,309.85,87.35000000000002,356.65,361.409,4.759000000000015,9250.0,9500.0,250.0,0.0,4.45,6.197,1.7470000000000006,185.0,190.0,5.0
